Lon	Lat	E.vel	N.vel	E.adj	N.adj	E.sig	N.sig	Corr	U.vel	U.adj	U.sig	Stat	E.sig.scaled	N.sig.scaled
35.19406	38.57064	1.87	27.73	6.93	17.6	0.19	0.21	0.056	0.0	0.0	0.0	SUBS_GPS	0.4	0.42
35.11668	41.39503	18.61	22.97	22.59	12.82	0.22	0.25	-0.132	0.0	0.0	0.0	DRGN_GPS	0.45	0.49
35.08672	38.90348	0.85	27.6	5.79	17.44	0.16	0.18	-0.003	0.0	0.0	0.0	HIMM_GPS	0.35	0.38
35.00667	39.96485	-0.41	27.48	4.13	17.3	0.3	0.37	-0.162	0.0	0.0	0.0	DRCI_GPS	0.58	0.66
34.92742	41.12599	12.09	25.05	16.2	14.85	0.24	0.31	-0.113	0.0	0.0	0.0	KAML_GPS	0.49	0.58
34.9158	40.7735	8.14	25.17	12.38	14.97	0.46	0.58	-0.145	0.0	0.0	0.0	LCIN_GPS	0.82	0.94
34.87999	41.6676	20.94	22.93	24.84	12.72	0.23	0.26	-0.112	0.0	0.0	0.0	HDRL_GPS	0.47	0.5
34.86091	40.46285	1.83	26.3	6.2	16.09	0.13	0.15	-0.048	0.0	0.0	0.0	KDKR_GPS	0.3	0.33
34.7428	38.41344	2.55	27.78	7.72	17.54	0.18	0.2	0.038	0.0	0.0	0.0	DERK_GPS	0.39	0.41
34.56769	38.93013	1.59	27.47	6.58	17.18	0.19	0.22	0.029	0.0	0.0	0.0	HACI_GPS	0.4	0.44
34.5414	41.87543	20.94	22.99	24.8	12.7	0.19	0.22	-0.084	0.0	0.0	0.0	AYAN_GPS	0.4	0.44
34.45853	40.72319	3.47	24.26	7.79	13.95	0.17	0.21	-0.012	0.0	0.0	0.0	ISKL_GPS	0.37	0.42
34.44844	41.0683	9.19	23.46	13.37	13.15	0.24	0.28	-0.061	0.0	0.0	0.0	KARG_GPS	0.49	0.53
34.42837	39.88156	0.61	27.94	5.25	17.62	0.35	0.41	-0.069	0.0	0.0	0.0	SGTY_GPS	0.66	0.72
34.36371	41.24358	17.3	24.32	21.43	13.99	0.26	0.31	-0.039	0.0	0.0	0.0	BSKO_GPS	0.52	0.58
34.35056	38.28563	2.59	26.65	7.85	16.31	0.19	0.22	-0.053	0.0	0.0	0.0	GUZY_GPS	0.4	0.44
34.3262	41.93694	20.87	24.86	24.73	14.52	0.15	0.17	-0.108	0.0	0.0	0.0	TURK_GPS	0.33	0.36
34.29382	37.03177	6.22	26.84	11.87	16.25	0.46	0.54	0.015	0.0	0.0	0.0	ARS1_GPS	0.82	0.89
34.25604	37.517	4.6	26.56	10.16	16.2	0.2	0.22	-0.035	0.0	0.0	0.0	BOZD_GPS	0.42	0.44
34.22217	36.52944	7.66	26.62	13.47	16.03	0.38	0.42	-0.039	0.0	0.0	0.0	TRTR_GPS	0.7	0.73
34.20212	40.89542	6.2	22.26	10.48	11.89	0.25	0.31	-0.006	0.0	0.0	0.0	DGCT_GPS	0.5	0.58
34.19283	41.5912	20.67	24.33	24.68	13.95	0.24	0.28	-0.005	0.0	0.0	0.0	TASK_GPS	0.49	0.53
34.17272	39.07389	0.69	26.53	5.67	16.15	0.2	0.24	0.042	0.0	0.0	0.0	IGDE_GPS	0.42	0.47
34.13937	40.3168	0.67	24.3	5.18	13.91	0.36	0.45	0.013	0.0	0.0	0.0	TKLL_GPS	0.67	0.77
34.13075	39.31179	-0.09	26.62	4.8	16.23	0.15	0.19	0.042	0.0	0.0	0.0	COGU_GPS	0.33	0.39
34.10102	38.92583	1.4	26.19	6.45	15.79	0.17	0.21	0.047	0.0	0.0	0.0	ORTA_GPS	0.37	0.42
34.05538	41.07235	10.12	23.86	14.35	13.45	0.22	0.25	-0.052	0.0	0.0	0.0	TOSY_GPS	0.45	0.49
34.02752	39.54464	-0.78	26.4	4.04	15.98	0.21	0.24	-0.084	0.0	0.0	0.0	YAKU_GPS	0.44	0.47
33.99056	37.78647	3.36	26.66	8.85	16.23	0.21	0.23	-0.034	0.0	0.0	0.0	KRYL_GPS	0.44	0.46
33.97706	41.28587	17.65	23.93	21.81	13.5	0.15	0.18	-0.037	0.0	0.0	0.0	AKKY_GPS	0.33	0.38
33.95377	40.70048	1.24	24.52	5.62	14.09	0.21	0.25	-0.022	0.0	0.0	0.0	IKON_GPS	0.44	0.49
33.89828	38.29484	2.09	25.82	7.4	15.37	0.72	0.91	-0.197	0.0	0.0	0.0	KSKN_GPS	1.16	1.35
33.84056	36.83808	6.76	27.31	12.54	16.66	0.55	0.61	-0.122	0.0	0.0	0.0	KIRO_GPS	0.94	0.98
33.83614	38.41151	1.58	27.0	6.85	16.54	0.2	0.24	-0.039	0.0	0.0	0.0	ACHY_GPS	0.42	0.47
33.83597	36.28148	9.3	25.76	15.38	15.3	0.33	0.36	0.029	0.0	0.0	0.0	TSCU_GPS	0.63	0.65
33.81797	41.66898	19.97	24.22	24.0	13.75	0.25	0.3	-0.135	0.0	0.0	0.0	DVKN_GPS	0.5	0.56
33.81183	41.42894	19.56	24.49	23.68	14.02	0.14	0.16	-0.075	0.0	0.0	0.0	KAST_GPS	0.32	0.34
33.70732	39.34718	-1.82	25.57	3.11	15.08	0.17	0.21	0.052	0.0	0.0	0.0	KAMA_GPS	0.37	0.42
