Lon	Lat	E.vel	N.vel	E.adj	N.adj	E.sig	N.sig	Corr	U.vel	U.adj	U.sig	Stat	E.sig.scaled	N.sig.scaled
36.156	34.882	-0.4	-1.08	21.46	23.55	0.46	0.45	0.017	0.0	0.0	0.0	AJSH_GPS	0.82	0.77
37.634	35.8	-0.33	-0.69	21.0	24.51	0.54	0.47	0.045	0.0	0.0	0.0	AKIL_GPS	0.93	0.8
36.4	33.879	0.72	-0.8	23.83	24.43	0.5	0.5	-0.028	0.0	0.0	0.0	ASAL_GPS	0.87	0.84
36.404	34.948	0.36	-1.1	21.91	24.0	0.46	0.51	0.023	0.0	0.0	0.0	BARN_GPS	0.82	0.85
36.091	35.247	-0.24	-1.8	21.3	22.86	0.44	0.44	0.032	0.0	0.0	0.0	BATH_GPS	0.79	0.76
36.754	34.914	-0.52	-0.42	21.43	24.66	0.53	0.49	0.015	0.0	0.0	0.0	BLAN_GPS	0.91	0.83
36.343	34.957	-1.18	-1.35	20.67	23.45	0.46	0.46	0.022	0.0	0.0	0.0	BMRA_GPS	0.82	0.79
36.204	35.09	-0.1	-1.16	21.56	23.54	0.45	0.45	0.028	0.0	0.0	0.0	BNAB_GPS	0.8	0.77
36.27	35.215	-0.11	-1.7	21.48	22.83	0.47	0.47	0.023	0.0	0.0	0.0	DALY_GPS	0.83	0.8
38.757	36.461	-0.31	-0.2	20.91	25.47	0.57	0.47	0.063	0.0	0.0	0.0	DBSS_GPS	0.97	0.8
36.419	35.118	-0.26	-1.56	21.46	23.21	0.48	0.47	0.022	0.0	0.0	0.0	DERS_GPS	0.84	0.8
36.104	35.598	-1.47	-1.93	19.88	22.74	0.47	0.48	0.037	0.0	0.0	0.0	DOHA_GPS	0.83	0.81
36.508	36.146	-0.91	-1.26	20.05	23.2	0.53	0.52	0.05	0.0	0.0	0.0	HARM_GPS	0.91	0.87
36.57	35.638	-0.12	-0.52	21.07	24.2	0.46	0.46	0.032	0.0	0.0	0.0	HASS_GPS	0.82	0.79
36.033	34.915	-0.54	-2.01	21.1	22.62	0.46	0.45	0.028	0.0	0.0	0.0	HBAB_GPS	0.82	0.77
40.596	36.584	-0.51	-0.35	20.89	25.94	0.46	0.47	0.04	0.0	0.0	0.0	HMEH_GPS	0.82	0.8
36.503	34.965	-0.43	-1.14	21.54	23.7	0.48	0.48	0.011	0.0	0.0	0.0	HMRY_GPS	0.84	0.81
36.111	33.781	0.38	-0.86	23.5	24.02	0.5	0.49	-0.001	0.0	0.0	0.0	HOOR_GPS	0.87	0.83
36.974	36.233	-0.22	-0.42	21.07	24.49	0.45	0.46	0.053	0.0	0.0	0.0	HOWR_GPS	0.8	0.79
37.869	34.643	0.54	0.81	23.1	26.3	0.47	0.48	0.016	0.0	0.0	0.0	JHAR_GPS	0.83	0.81
36.881	35.649	-0.15	-0.56	21.11	24.49	0.48	0.49	0.035	0.0	0.0	0.0	KATR_GPS	0.84	0.83
38.437	33.571	0.92	0.78	23.94	26.29	0.48	0.48	-0.003	0.0	0.0	0.0	KBDD_GPS	0.84	0.81
36.578	35.449	-0.16	-0.75	21.1	23.97	0.61	0.6	0.03	0.0	0.0	0.0	KHAS_GPS	1.02	0.97
37.716	36.246	-0.64	-0.39	20.67	24.85	0.44	0.46	0.055	0.0	0.0	0.0	KHBZ_GPS	0.79	0.79
38.481	35.782	-0.01	-0.14	21.59	25.34	0.48	0.49	0.032	0.0	0.0	0.0	KRIN_GPS	0.84	0.83
35.954	34.838	-0.74	-2.26	21.09	22.29	0.44	0.44	0.012	0.0	0.0	0.0	MJDL_GPS	0.79	0.76
40.761	35.754	0.07	-0.33	22.24	26.27	0.46	0.47	0.021	0.0	0.0	0.0	MRQD_GPS	0.82	0.8
