Lon	Lat	E.vel	N.vel	E.adj	N.adj	E.sig	N.sig	Corr	U.vel	U.adj	U.sig	Stat	E.sig.scaled	N.sig.scaled
115.297	40.979	-0.8	-5.4	28.45	-10.69	0.4	0.27	0.015	0.0	0.0	0.0	A053_GPS	0.76	0.54
115.406	40.691	-0.25	-5.24	29.07	-10.52	0.34	0.33	0.002	0.0	0.0	0.0	A054_GPS	0.67	0.63
115.398	40.528	-0.24	-5.8	29.08	-10.82	0.5	0.36	0.014	0.0	0.0	0.0	A055_GPS	0.91	0.68
115.172	40.343	0.85	-5.62	30.12	-10.87	0.39	0.48	0.013	0.0	0.0	0.0	A056_GPS	0.74	0.85
115.16	40.191	0.56	-5.51	29.83	-10.76	0.4	0.49	0.016	0.0	0.0	0.0	A057_GPS	0.76	0.87
115.719	41.295	-0.94	-5.06	28.38	-10.49	0.26	0.5	0.017	0.0	0.0	0.0	A058_GPS	0.54	0.88
115.839	40.913	-0.69	-4.91	28.5	-10.42	0.46	0.45	0.023	0.0	0.0	0.0	A059_GPS	0.85	0.81
115.6	40.393	-0.17	-5.49	29.07	-10.86	0.36	0.42	0.011	0.0	0.0	0.0	A061_GPS	0.7	0.76
115.478	40.352	0.04	-5.56	29.29	-10.83	0.3	0.3	0.014	0.0	0.0	0.0	A062_GPS	0.6	0.58
116.073	41.119	-0.77	-4.76	28.46	-10.37	0.52	0.42	0.015	0.0	0.0	0.0	A063_GPS	0.94	0.76
116.17	40.66	-0.71	-4.97	28.49	-10.69	0.5	0.5	0.008	0.0	0.0	0.0	A064_GPS	0.91	0.88
116.401	40.529	-1.29	-4.8	27.97	-10.44	0.5	0.5	0.011	0.0	0.0	0.0	A065_GPS	0.91	0.88
115.926	40.346	0.1	-5.65	29.44	-11.14	0.38	0.47	0.036	0.0	0.0	0.0	A066_GPS	0.73	0.84
116.248	40.105	0.21	-4.49	29.93	-10.01	0.6	0.65	-0.013	0.0	0.0	0.0	A067_GPS	1.05	1.08
116.62	41.22	-1.17	-4.88	27.99	-10.59	0.36	0.39	0.007	0.0	0.0	0.0	A068_GPS	0.7	0.72
116.932	41.037	-1.13	-4.93	28.07	-10.76	0.36	0.48	0.012	0.0	0.0	0.0	A069_GPS	0.7	0.85
116.83	40.431	-0.68	-4.94	28.54	-10.64	0.44	0.43	0.019	0.0	0.0	0.0	A071_GPS	0.82	0.78
116.591	40.309	-0.08	-6.09	29.17	-11.79	0.5	0.54	0.007	0.0	0.0	0.0	A072_GPS	0.91	0.94
116.609	40.049	0.61	-5.58	29.79	-11.29	0.8	0.8	0.046	0.0	0.0	0.0	A073_GPS	1.33	1.28
117.174	41.226	-0.97	-4.48	28.23	-10.42	0.55	0.48	0.012	0.0	0.0	0.0	A074_GPS	0.98	0.85
117.356	40.934	-0.99	-4.6	28.13	-10.46	0.42	0.38	0.01	0.0	0.0	0.0	A075_GPS	0.79	0.71
117.151	40.672	-0.86	-4.52	28.28	-10.51	0.55	0.43	0.016	0.0	0.0	0.0	A076_GPS	0.98	0.78
117.264	40.4	-1.12	-4.52	28.09	-10.44	0.49	0.41	0.013	0.0	0.0	0.0	A077_GPS	0.9	0.75
117.542	40.458	-1.15	-4.66	28.06	-10.6	0.55	0.55	0.007	0.0	0.0	0.0	A078_GPS	0.98	0.95
117.137	40.104	-0.99	-4.33	28.23	-10.21	0.33	0.32	0.018	0.0	0.0	0.0	A079_GPS	0.65	0.62
117.487	40.179	-1.23	-4.64	28.09	-10.79	0.55	0.48	0.019	0.0	0.0	0.0	A080_GPS	0.98	0.85
115.7	39.996	0.35	-5.54	29.59	-10.88	0.39	0.3	0.011	0.0	0.0	0.0	A082_GPS	0.74	0.58
115.561	39.639	0.88	-5.67	30.13	-11.05	0.28	0.29	0.016	0.0	0.0	0.0	A083_GPS	0.57	0.57
115.166	39.437	1.02	-5.84	30.29	-10.96	0.42	0.36	0.011	0.0	0.0	0.0	A084_GPS	0.79	0.68
115.488	39.374	0.84	-5.53	30.16	-10.84	0.35	0.4	0.019	0.0	0.0	0.0	A085_GPS	0.68	0.74
115.267	39.03	1.17	-5.85	30.51	-11.08	0.36	0.45	0.007	0.0	0.0	0.0	A086_GPS	0.7	0.81
115.493	38.812	1.05	-5.81	30.3	-11.34	0.44	0.32	-0.0	0.0	0.0	0.0	A087_GPS	0.82	0.62
116.139	39.963	0.91	-5.37	30.05	-10.88	0.5	0.4	0.012	0.0	0.0	0.0	A088_GPS	0.91	0.74
116.217	39.915	0.23	-4.41	29.14	-9.7	0.8	0.8	-0.004	0.0	0.0	0.0	A089_GPS	1.33	1.28
116.087	39.691	0.76	-5.18	29.98	-10.67	0.46	0.42	0.01	0.0	0.0	0.0	A091_GPS	0.85	0.76
116.292	39.701	1.52	-4.34	30.65	-9.92	0.21	0.3	0.012	0.0	0.0	0.0	A092_GPS	0.45	0.58
116.003	39.492	1.01	-5.58	30.3	-11.05	0.55	0.5	-0.021	0.0	0.0	0.0	A093_GPS	0.98	0.88
116.282	39.403	2.24	-5.75	31.38	-11.32	0.48	0.6	-0.006	0.0	0.0	0.0	A094_GPS	0.88	1.02
116.127	38.708	0.12	-6.69	29.34	-12.58	0.55	0.55	-0.004	0.0	0.0	0.0	A096_GPS	0.98	0.95
116.722	39.49	1.41	-6.21	30.52	-11.91	0.55	0.54	0.009	0.0	0.0	0.0	A100_GPS	0.98	0.94
116.462	39.326	2.54	-5.38	31.46	-10.86	0.85	0.8	0.083	0.0	0.0	0.0	A101_GPS	1.4	1.28
116.383	39.081	1.69	-4.57	30.89	-10.34	0.4	0.4	0.018	0.0	0.0	0.0	A102_GPS	0.76	0.74
