Lon	Lat	E.vel	N.vel	E.adj	N.adj	E.sig	N.sig	Corr	U.vel	U.adj	U.sig	Stat	E.sig.scaled	N.sig.scaled
15.8548	39.6182	8.26	6.0	22.9	18.36	0.17	0.12	0.001	0.0	0.0	0.0	BELV_GPS	0.37	0.27
351.8733	37.2324	2.97	15.67	17.43	17.15	0.12	0.16	0.001	0.0	0.0	0.0	BENA_GPS	0.28	0.34
353.6814	32.3768	-1.53	15.81	16.75	18.14	0.19	0.26	0.001	0.0	0.0	0.0	BENI_GPS	0.4	0.5
16.2866	39.5135	8.92	5.8	23.6	18.5	0.24	0.23	0.001	0.0	0.0	0.0	BISI_GPS	0.49	0.46
357.9673	33.9864	-0.56	15.01	16.96	19.99	0.48	0.48	0.001	0.0	0.0	0.0	BMTR_GPS	0.84	0.81
15.9197	37.931	8.6	4.94	24.34	17.55	0.2	0.32	0.001	0.0	0.0	0.0	BOMA_GPS	0.42	0.59
3.3923	39.6137	7.51	9.62	20.59	16.58	0.14	0.16	0.001	0.0	0.0	0.0	BONA_GPS	0.32	0.34
352.5375	38.8103	5.94	15.13	19.23	16.93	0.17	0.13	0.001	0.0	0.0	0.0	BORB_GPS	0.37	0.29
359.9168	39.9052	7.5	11.04	20.38	16.29	0.2	0.17	0.002	0.0	0.0	0.0	BORR_GPS	0.42	0.36
9.8746	37.2698	8.33	6.07	24.03	16.1	0.5	0.56	0.001	0.0	0.0	0.0	BZRT_GPS	0.87	0.92
357.4524	37.2211	3.99	12.35	18.55	16.48	0.16	0.2	0.001	0.0	0.0	0.0	CAAL_GPS	0.35	0.41
359.3016	37.6309	5.59	12.74	20.02	17.79	0.16	0.23	0.001	0.0	0.0	0.0	CABO_GPS	0.35	0.46
355.5758	37.468	3.92	13.6	18.3	16.55	0.29	0.2	0.001	0.0	0.0	0.0	CABR_GPS	0.57	0.41
7.4733	36.2766	3.75	8.51	19.82	17.43	0.1	0.11	0.001	0.0	0.0	0.0	CABS_GPS	0.24	0.25
353.6582	39.4789	5.6	14.75	18.19	17.12	0.14	0.14	0.001	0.0	0.0	0.0	CACE_GPS	0.32	0.31
6.8499	36.7856	3.57	5.13	19.21	13.76	0.31	0.46	0.001	0.0	0.0	0.0	CAEH_GPS	0.6	0.79
4.8734	35.5645	1.39	11.07	17.81	18.84	0.23	0.3	0.001	0.0	0.0	0.0	CAEK_GPS	0.47	0.56
14.5141	37.2068	4.64	7.87	20.69	19.82	0.1	0.12	0.001	0.0	0.0	0.0	CAGI_GPS	0.24	0.27
8.9728	39.1359	7.48	6.66	21.93	16.34	0.15	0.11	0.001	0.0	0.0	0.0	CAGL_GPS	0.33	0.25
14.522	37.2283	4.84	7.04	20.96	18.81	0.15	0.16	0.001	0.0	0.0	0.0	CALT_GPS	0.33	0.34
16.4492	39.3402	9.28	5.63	24.04	18.26	0.32	0.29	0.001	0.0	0.0	0.0	CAMO_GPS	0.61	0.55
12.7449	37.6293	5.75	7.18	21.22	18.47	0.16	0.15	0.001	0.0	0.0	0.0	CAMP_GPS	0.35	0.33
14.7396	38.1574	6.39	10.28	21.99	21.91	0.35	0.38	0.001	0.0	0.0	0.0	CAPO_GPS	0.66	0.68
16.2114	39.2534	8.68	6.02	23.55	18.51	0.13	0.15	0.001	0.0	0.0	0.0	CAR1_GPS	0.3	0.33
358.0323	38.0459	5.07	11.87	19.19	16.18	0.14	0.14	0.001	0.0	0.0	0.0	CARA_GPS	0.32	0.31
358.12	37.01	4.7	13.72	19.73	18.33	0.2	0.2	0.001	0.0	0.0	0.0	CARB_GPS	0.42	0.41
359.0262	37.5966	4.8	13.53	19.18	18.58	0.21	0.17	0.001	0.0	0.0	0.0	CARG_GPS	0.44	0.36
358.99	37.59	5.15	12.76	19.77	17.79	0.3	0.3	0.001	0.0	0.0	0.0	CART_GPS	0.58	0.56
350.5815	38.6934	4.56	16.25	17.75	17.1	0.14	0.11	-0.002	0.0	0.0	0.0	CASC_GPS	0.32	0.25
16.2049	39.8103	8.65	6.3	23.18	18.71	0.14	0.18	0.001	0.0	0.0	0.0	CASV_GPS	0.32	0.38
351.2516	37.1268	2.34	17.24	16.88	18.41	0.3	0.2	0.001	0.0	0.0	0.0	CATA_GPS	0.58	0.41
354.4612	38.7304	5.08	14.47	18.42	17.18	0.08	0.16	0.001	0.0	0.0	0.0	CATU_GPS	0.2	0.34
354.2402	37.9379	4.55	15.17	18.51	17.77	0.18	0.15	0.001	0.0	0.0	0.0	CAZA_GPS	0.39	0.33
7.1911	35.1442	2.34	9.62	19.24	18.43	0.13	0.1	0.001	0.0	0.0	0.0	CBBR_GPS	0.3	0.24
8.4177	35.1825	2.29	8.6	19.25	17.95	0.12	0.12	0.001	0.0	0.0	0.0	CBCK_GPS	0.28	0.27
5.0838	36.7678	5.21	10.14	20.73	17.99	0.24	0.22	0.001	0.0	0.0	0.0	CBEJ_GPS	0.49	0.44
352.4878	39.819	5.58	15.44	18.02	17.39	0.16	0.15	0.001	0.0	0.0	0.0	CBRA_GPS	0.35	0.33
353.6221	39.4723	5.25	13.88	18.0	15.78	0.16	0.2	0.001	0.0	0.0	0.0	CCEX_GPS	0.35	0.41
16.7756	39.2262	9.98	5.55	24.82	18.33	0.3	0.24	0.001	0.0	0.0	0.0	CCRI_GPS	0.58	0.47
14.0197	38.0334	5.98	8.48	21.3	20.42	0.24	0.29	0.001	0.0	0.0	0.0	CEFL_GPS	0.49	0.55
16.5088	39.4027	9.32	5.5	24.15	18.3	0.15	0.14	0.001	0.0	0.0	0.0	CELI_GPS	0.33	0.31
15.8939	38.2603	8.06	6.1	23.58	18.65	0.24	0.2	0.001	0.0	0.0	0.0	CELL_GPS	0.49	0.41
351.2868	37.7898	3.72	16.21	17.56	17.36	0.28	0.18	0.0	0.0	0.0	0.0	CERC_GPS	0.55	0.38
351.0624	37.0476	3.78	16.49	18.39	17.57	0.28	0.17	0.001	0.0	0.0	0.0	CERR_GPS	0.55	0.36
15.9546	39.5287	8.57	5.64	23.12	18.14	0.22	0.18	0.001	0.0	0.0	0.0	CETR_GPS	0.45	0.38
