Lon	Lat	E.vel	N.vel	E.adj	N.adj	E.sig	N.sig	Corr	U.vel	U.adj	U.sig	Stat	E.sig.scaled	N.sig.scaled
30.166	38.069	-11.37	-60.35	4.58	6.87	0.14	0.2	0.007	0.0	0.0	0.0	DINA_GPS	0.33	0.42
34.195	35.537	-0.75	-48.97	17.45	16.5	0.23	0.2	0.007	0.0	0.0	0.0	DIPK_GPS	0.49	0.42
38.104	39.394	-12.48	-42.67	9.93	20.87	0.12	0.12	0.005	0.0	0.0	0.0	DIVR_GPS	0.29	0.28
40.187	37.954	-4.35	-37.03	18.65	25.38	0.18	0.14	0.007	0.0	0.0	0.0	DIYB_GPS	0.4	0.32
26.551	41.677	9.05	-54.69	23.73	15.11	0.44	0.45	-0.0	0.0	0.0	0.0	EDIR_GPS	0.82	0.81
37.188	38.059	-9.14	-43.88	11.9	20.56	0.14	0.13	0.006	0.0	0.0	0.0	EKIZ_GPS	0.33	0.3
39.256	38.645	-11.71	-41.27	10.39	21.53	0.71	0.72	0.007	0.0	0.0	0.0	ELAZ_GPS	1.21	1.18
31.144	39.022	-13.93	-57.14	3.12	9.73	0.16	0.17	0.007	0.0	0.0	0.0	EMIR_GPS	0.36	0.37
39.758	38.27	-4.81	-37.51	18.14	25.61	0.14	0.13	0.005	0.0	0.0	0.0	ERGN_GPS	0.33	0.3
39.506	39.746	-8.44	-46.16	17.0	16.68	0.36	0.23	-0.0	0.0	0.0	0.0	ERZ1_GPS	0.7	0.47
41.255	39.906	1.13	-47.15	25.65	14.64	0.17	0.15	0.007	0.0	0.0	0.0	ERZR_GPS	0.38	0.34
30.464	39.746	-14.68	-57.66	2.02	9.4	0.2	0.23	0.007	0.0	0.0	0.0	ESKS_GPS	0.43	0.47
37.485	41.046	1.07	-50.1	24.13	13.76	0.27	0.11	-0.001	0.0	0.0	0.0	FASA_GPS	0.55	0.26
35.912	37.815	-8.44	-45.63	11.65	19.03	0.25	0.24	0.006	0.0	0.0	0.0	FEEK_GPS	0.52	0.49
29.124	36.626	-4.3	-70.19	10.62	-2.75	0.22	0.31	-0.001	0.0	0.0	0.0	FETH_GPS	0.47	0.6
30.146	36.302	-0.24	-59.83	15.4	7.29	0.25	0.34	-0.001	0.0	0.0	0.0	FINI_GPS	0.52	0.65
36.081	39.185	-14.7	-46.54	6.57	18.2	0.29	0.15	-0.001	0.0	0.0	0.0	GEME_GPS	0.59	0.34
38.388	40.923	1.88	-49.57	24.76	13.91	0.11	0.16	0.005	0.0	0.0	0.0	GIRS_GPS	0.27	0.35
30.497	50.364	3.33	-54.39	22.47	12.32	0.17	0.17	-0.001	0.0	0.0	0.0	GLSV_GPS	0.38	0.37
15.493	47.067	16.59	-54.53	21.73	15.67	0.14	0.12	-0.0	0.0	0.0	0.0	GRAZ_GPS	0.33	0.28
39.516	40.437	1.3	-49.53	24.98	13.25	0.29	0.29	0.006	0.0	0.0	0.0	GUMU_GPS	0.59	0.57
37.308	38.717	-11.8	-43.88	10.01	20.16	0.27	0.11	0.008	0.0	0.0	0.0	GURU_GPS	0.55	0.26
32.989	35.201	2.64	-51.97	19.87	14.32	0.36	0.31	-0.0	0.0	0.0	0.0	GYUR_GPS	0.7	0.6
34.183	37.445	-7.48	-48.66	11.38	16.77	0.18	0.18	0.007	0.0	0.0	0.0	HALP_GPS	0.4	0.39
29.153	39.678	-13.39	-58.42	2.22	9.04	0.3	0.21	-0.001	0.0	0.0	0.0	HARC_GPS	0.6	0.44
36.156	36.2	-0.9	-42.1	17.3	21.86	0.27	0.25	0.009	0.0	0.0	0.0	HAT1_GPS	0.55	0.51
30.741	40.795	1.62	-55.42	18.85	11.78	0.24	0.2	-0.001	0.0	0.0	0.0	HEND_GPS	0.5	0.42
41.696	39.369	1.34	-43.26	25.94	18.27	0.48	0.44	-0.001	0.0	0.0	0.0	HINI_GPS	0.88	0.79
42.167	40.042	1.44	-43.9	27.33	16.46	0.28	0.29	0.007	0.0	0.0	0.0	HORS_GPS	0.57	0.57
32.496	39.435	-13.6	-55.97	4.93	10.34	0.29	0.31	-0.0	0.0	0.0	0.0	HYMN_GPS	0.59	0.6
44.018	39.929	2.83	-44.05	29.22	15.23	0.24	0.27	-0.001	0.0	0.0	0.0	IGIR_GPS	0.5	0.54
33.763	41.979	4.26	-52.3	24.07	16.64	0.46	0.58	-0.01	0.0	0.0	0.0	INE1_GPS	0.85	0.99
26.386	40.921	8.88	-56.25	23.82	13.2	0.23	0.26	-0.01	0.0	0.0	0.0	IPS1_GPS	0.49	0.52
30.567	37.785	-10.77	-60.34	5.67	6.62	0.24	0.2	-0.001	0.0	0.0	0.0	ISPT_GPS	0.5	0.42
29.019	41.104	7.88	-55.92	23.55	11.53	0.31	0.32	-0.011	0.0	0.0	0.0	ISTA_GPS	0.62	0.62
28.832	40.991	7.88	-55.36	23.92	12.48	0.15	0.2	-0.0	0.0	0.0	0.0	ISTN_GPS	0.34	0.42
27.082	38.395	-11.55	-71.51	2.32	-3.23	0.2	0.22	0.008	0.0	0.0	0.0	IZMI_GPS	0.43	0.46
29.951	40.802	3.17	-55.76	19.72	11.46	0.12	0.16	-0.001	0.0	0.0	0.0	IZMT_GPS	0.29	0.35
33.22	37.193	-6.32	-50.63	12.31	15.41	0.28	0.29	-0.001	0.0	0.0	0.0	KAMN_GPS	0.57	0.57
28.683	41.347	8.85	-55.68	24.4	12.06	0.21	0.21	-0.001	0.0	0.0	0.0	KARB_GPS	0.45	0.44
35.524	38.708	-11.04	-46.84	9.2	18.04	0.11	0.1	0.005	0.0	0.0	0.0	KAYS_GPS	0.27	0.24
27.672	39.106	-12.06	-65.17	2.44	2.8	0.15	0.21	-0.001	0.0	0.0	0.0	KIKA_GPS	0.34	0.44
27.218	41.738	9.74	-55.61	24.32	12.54	0.14	0.17	-0.001	0.0	0.0	0.0	KIRL_GPS	0.33	0.37
34.155	39.165	-13.52	-50.96	5.73	14.62	0.1	0.23	-0.001	0.0	0.0	0.0	KIRS_GPS	0.25	0.47
66.885	39.135	-11.09	-35.95	26.97	4.93	0.3	0.26	0.006	0.0	0.0	0.0	KIT3_GPS	0.6	0.52
33.518	39.843	-13.49	-51.4	5.5	14.35	0.32	0.31	-0.0	0.0	0.0	0.0	KKAL_GPS	0.63	0.6
37.112	36.709	-4.22	-38.36	16.53	25.6	0.73	0.52	-0.0	0.0	0.0	0.0	KLIS_GPS	1.24	0.91
33.065	39.079	-12.62	-52.83	5.82	13.53	0.12	0.26	-0.001	0.0	0.0	0.0	KLUU_GPS	0.29	0.52
32.676	41.232	4.16	-53.0	22.85	13.36	0.1	0.16	0.007	0.0	0.0	0.0	KRBK_GPS	0.25	0.35
43.093	40.588	1.71	-45.89	27.74	14.61	0.14	0.17	0.007	0.0	0.0	0.0	KRS1_GPS	0.33	0.37
32.718	41.846	5.26	-52.6	24.26	13.65	0.11	0.18	0.006	0.0	0.0	0.0	KURU_GPS	0.27	0.39
29.899	39.481	-13.95	-58.22	2.21	8.97	0.1	0.19	0.008	0.0	0.0	0.0	KUTA_GPS	0.25	0.41
33.353	35.195	1.52	-49.92	19.04	15.92	0.16	0.14	0.014	0.0	0.0	0.0	LEFK_GPS	0.36	0.32
38.217	38.338	-10.07	-41.55	11.75	21.94	0.21	0.11	0.007	0.0	0.0	0.0	MALY_GPS	0.45	0.26
36.931	37.581	-5.88	-43.3	14.94	20.93	0.28	0.3	-0.002	0.0	0.0	0.0	MARA_GPS	0.57	0.58
40.728	37.311	-3.03	-36.63	20.11	25.4	0.39	0.39	0.012	0.0	0.0	0.0	MARD_GPS	0.74	0.72
16.704	40.649	17.33	-50.94	23.94	18.91	0.13	0.14	0.0	0.0	0.0	0.0	MATE_GPS	0.31	0.32
33.907	35.146	1.33	-48.44	19.15	17.16	0.2	0.2	0.006	0.0	0.0	0.0	MGOS_GPS	0.43	0.42
41.357	37.417	-3.4	-35.88	20.17	25.76	0.4	0.39	0.012	0.0	0.0	0.0	MIDY_GPS	0.76	0.72
42.541	39.146	-1.57	-41.31	23.11	19.71	0.47	0.49	-0.0	0.0	0.0	0.0	MLZ1_GPS	0.87	0.87
34.603	36.781	-5.74	-49.04	13.48	16.41	0.16	0.15	0.007	0.0	0.0	0.0	MRSI_GPS	0.36	0.34
28.364	37.216	-8.76	-72.98	5.92	-5.03	0.34	0.36	-0.0	0.0	0.0	0.0	MUGL_GPS	0.67	0.68
43.763	38.992	-0.01	-39.21	28.9	16.52	0.71	0.73	0.008	0.0	0.0	0.0	MUR1_GPS	1.21	1.19
31.332	40.173	-15.25	-56.55	2.21	10.26	0.1	0.16	0.007	0.0	0.0	0.0	NAHA_GPS	0.25	0.35
34.703	38.617	-11.62	-48.28	7.87	17.03	0.11	0.11	0.006	0.0	0.0	0.0	NEVS_GPS	0.27	0.26
33.396	35.141	1.82	-50.26	19.2	15.71	0.18	0.19	-0.011	0.0	0.0	0.0	NICO_GPS	0.4	0.41
34.679	37.959	-9.12	-48.4	10.09	16.99	0.11	0.16	0.005	0.0	0.0	0.0	NIGD_GPS	0.27	0.35
14.99	36.876	16.45	-50.48	21.51	20.0	0.16	0.14	0.012	0.0	0.0	0.0	NOT1_GPS	0.36	0.32
36.254	37.102	-6.22	-45.18	13.78	19.73	0.11	0.15	0.005	0.0	0.0	0.0	ONIY_GPS	0.27	0.34
43.989	38.657	-1.55	-34.99	24.04	27.05	0.3	0.46	-0.001	0.0	0.0	0.0	OZAL_GPS	0.6	0.82
74.694	42.68	-17.11	-28.42	27.65	4.52	0.25	0.2	-0.125	0.0	0.0	0.0	POL2_GPS	0.52	0.42
34.543	49.603	-0.0	-53.0	22.41	12.36	0.17	0.13	-0.001	0.0	0.0	0.0	POLV_GPS	0.38	0.3
13.066	52.379	16.28	-55.06	18.88	15.13	0.15	0.16	-0.001	0.0	0.0	0.0	POTS_GPS	0.34	0.35
34.872	37.422	-7.46	-48.28	11.81	17.21	0.17	0.17	0.005	0.0	0.0	0.0	POZA_GPS	0.38	0.37
34.763	30.598	6.72	-45.68	23.35	19.7	0.15	0.14	-0.021	0.0	0.0	0.0	RAMO_GPS	0.34	0.32
37.336	40.385	-7.67	-47.02	14.48	17.27	0.26	0.27	0.005	0.0	0.0	0.0	RDIY_GPS	0.54	0.54
38.771	39.906	-10.34	-45.66	12.4	17.74	0.37	0.38	0.004	0.0	0.0	0.0	RHIY_GPS	0.71	0.71
40.493	41.037	-1.52	-48.58	23.32	14.0	0.71	0.6	-0.0	0.0	0.0	0.0	RZE1_GPS	1.21	1.02
28.124	38.483	-14.14	-65.53	0.89	2.3	0.31	0.27	-0.0	0.0	0.0	0.0	SALH_GPS	0.62	0.54
36.334	41.308	3.69	-50.42	24.02	13.95	0.64	0.68	-0.002	0.0	0.0	0.0	SAM1_GPS	1.11	1.12
36.256	41.344	3.56	-52.77	24.62	12.06	0.78	1.0	-0.0	0.0	0.0	0.0	SAMN_GPS	1.3	1.53
32.617	36.697	-5.44	-51.94	12.11	14.51	0.45	0.63	-0.0	0.0	0.0	0.0	SARV_GPS	0.84	1.06
27.916	41.443	9.34	-55.99	24.37	11.9	0.15	0.21	-0.001	0.0	0.0	0.0	SARY_GPS	0.34	0.44
31.536	39.447	-14.99	-56.63	2.74	10.09	0.2	0.21	0.008	0.0	0.0	0.0	SIH1_GPS	0.43	0.44
33.936	36.382	-3.31	-50.58	14.99	15.12	0.12	0.15	0.008	0.0	0.0	0.0	SILF_GPS	0.29	0.34
35.154	42.03	3.77	-51.65	24.52	13.54	0.11	0.13	0.007	0.0	0.0	0.0	SINP_GPS	0.27	0.3
42.457	37.525	-4.99	-35.84	17.46	19.03	1.22	1.06	-0.001	0.0	0.0	0.0	SIRN_GPS	1.87	1.6
41.936	37.932	-3.8	-37.13	19.85	24.89	0.29	0.38	0.008	0.0	0.0	0.0	SIRT_GPS	0.59	0.71
39.329	37.752	-3.56	-38.58	18.79	24.95	0.14	0.14	0.006	0.0	0.0	0.0	SIVE_GPS	0.33	0.32
37.002	39.744	-14.47	-45.13	7.0	19.15	0.12	0.15	0.004	0.0	0.0	0.0	SIVS_GPS	0.29	0.34
38.075	40.162	-9.8	-45.26	13.11	17.96	0.55	0.68	0.006	0.0	0.0	0.0	SSEH_GPS	0.98	1.12
34.369	40.154	-14.93	-50.48	4.77	14.9	0.59	0.6	-0.001	0.0	0.0	0.0	SUNL_GPS	1.04	1.02
38.818	37.192	-3.95	-37.97	17.84	25.2	0.43	0.44	0.008	0.0	0.0	0.0	SURF_GPS	0.81	0.79
27.497	40.958	8.6	-57.87	23.28	10.43	0.16	0.21	-0.001	0.0	0.0	0.0	TEKR_GPS	0.36	0.44
39.546	39.11	-12.09	-42.05	10.89	20.62	0.11	0.19	0.006	0.0	0.0	0.0	TNCE_GPS	0.27	0.41
36.557	40.331	-14.06	-45.6	7.37	18.48	0.17	0.17	-0.002	0.0	0.0	0.0	TOK1_GPS	0.38	0.37
39.711	41.005	1.72	-49.47	25.58	13.43	0.11	0.1	0.004	0.0	0.0	0.0	TRBN_GPS	0.27	0.24
29.451	40.787	3.51	-55.78	19.52	11.53	0.27	0.22	-0.01	0.0	0.0	0.0	TUBI_GPS	0.55	0.46
36.208	38.261	-9.33	-45.86	10.59	19.19	0.46	0.33	-0.0	0.0	0.0	0.0	TUF1_GPS	0.85	0.63
42.291	38.53	-2.25	-35.4	20.46	24.98	0.72	0.73	-0.001	0.0	0.0	0.0	TVA1_GPS	1.22	1.19
41.548	40.531	1.46	-47.8	26.69	13.6	0.26	0.28	-0.003	0.0	0.0	0.0	UDER_GPS	0.54	0.55
29.405	38.679	-13.5	-61.78	2.2	5.8	0.26	0.35	-0.0	0.0	0.0	0.0	USAK_GPS	0.54	0.66
43.283	38.565	-3.13	-37.41	22.32	23.15	0.42	0.3	-0.001	0.0	0.0	0.0	VAAN_GPS	0.79	0.58
43.346	38.469	-3.51	-25.98	21.8	34.54	0.51	1.22	-0.0	0.0	0.0	0.0	VAN1_GPS	0.92	1.79
35.467	41.138	-0.72	-50.56	20.21	14.51	0.26	0.27	0.006	0.0	0.0	0.0	VEZI_GPS	0.54	0.54
356.048	40.444	28.55	-50.8	18.32	16.63	0.14	0.11	0.039	0.0	0.0	0.0	VILL_GPS	0.33	0.26
39.751	37.234	-3.14	-37.17	19.42	25.62	0.12	0.15	0.006	0.0	0.0	0.0	VIRA_GPS	0.29	0.34
6.605	52.915	21.25	-53.35	17.74	16.54	0.11	0.11	-0.018	0.0	0.0	0.0	WSRT_GPS	0.27	0.26
12.879	49.144	17.51	-54.77	20.49	15.58	0.11	0.08	-0.001	0.0	0.0	0.0	WTZR_GPS	0.27	0.2
356.911	40.525	28.21	-51.18	18.83	16.61	0.14	0.11	0.068	0.0	0.0	0.0	YEBE_GPS	0.33	0.26
27.242	39.936	-8.9	-63.92	5.28	4.31	0.16	0.2	-0.0	0.0	0.0	0.0	YENC_GPS	0.36	0.42
34.845	39.831	-14.34	-49.1	5.54	16.3	0.12	0.14	-0.001	0.0	0.0	0.0	YOZ1_GPS	0.29	0.32
34.816	39.824	-14.4	-49.22	5.32	16.29	0.36	0.37	-0.002	0.0	0.0	0.0	YOZT_GPS	0.7	0.69
31.726	38.82	-13.52	-57.01	3.88	9.85	0.11	0.2	-0.001	0.0	0.0	0.0	YUNK_GPS	0.27	0.42
7.465	46.877	21.76	-53.66	19.68	16.32	0.12	0.11	0.002	0.0	0.0	0.0	ZIMM_GPS	0.29	0.26
31.778	41.45	6.44	-53.66	24.56	12.95	0.14	0.23	-0.0	0.0	0.0	0.0	ZONG_GPS	0.33	0.47
