Lon,Lat,Stat,Num
46.5521,25.6886,RY93_GPS,1
45.7944,25.5954,RY94_GPS,1
47.1558,25.5707,RY95_GPS,1
47.5557,25.103,RY96_GPS,1
46.9967,24.9294,RY97_GPS,1
46.6942,24.6741,RY99_GPS,1
53.9853,16.9681,SALP_GPS,1
37.0221,12.5116,SERB_GPS,1
47.1171,17.4864,SHAR_GPS,1
39.054,15.8534,SHEB_GPS,7
46.5592,22.0279,SHML_GPS,1
35.2433,28.0369,SHRM_GPS,1
46.4006,24.9107,SOLA_GPS,11
58.1763,23.5849,SQUO_GPS,1
34.8717,28.5515,TAYS_GPS,7
36.4769,28.381,TB01_GPS,1
34.9172,29.2287,TB02_GPS,1
34.7401,28.4046,TB03_GPS,1
35.5417,27.5659,TB04_GPS,1
36.3686,26.3669,TB05_GPS,1
38.5441,27.6108,TB06_GPS,1
36.5502,28.2292,TBKS_GPS,1
36.5641,28.4095,TBUK_GPS,1
56.1123,22.1865,YIBL_GPS,10
37.9564,24.1562,YNBU_GPS,1
44.2068,15.3926,YRS1_GPS,1
20.794,41.127,ORID_GPS,11
23.004,40.567,AUT1_GPS,8
23.864,38.047,NOA1_GPS,9
24.071,35.533,TUC2_GPS,9
20.25,39.53,IGOU_GPS,2
20.69,38.85,LEFK_GPS,3
20.54,41.77,0801_GPS,3
22.01,41.77,0804_GPS,5
22.78,41.33,0805_GPS,5
21.79,40.93,0806_GPS,5
20.82,40.93,0807_GPS,4
19.95,40.71,BERA_GPS,9
20.8,41.99,M108_GPS,5
21.05,41.66,M110_GPS,5
21.4,41.7,M111_GPS,6
21.8,41.99,M112_GPS,5
22.96,41.79,M116_GPS,5
22.51,41.78,M117_GPS,5
22.88,41.54,M119_GPS,5
22.31,41.51,M120_GPS,5
21.65,41.33,M121_GPS,5
21.21,41.44,M122_GPS,6
20.68,41.43,M123_GPS,5
20.52,41.24,M124_GPS,6
21.03,41.23,M125_GPS,6
21.18,41.0,M127_GPS,4
22.21,41.16,M129_GPS,4
20.47,41.59,MAQE_GPS,5
19.51,40.41,VLOR_GPS,4
37.113,37.747,ABEY_GPS,7
30.644,38.769,AFYO_GPS,6
30.761,40.589,AGOK_GPS,6
30.68,40.538,AGUZ_GPS,5
27.873,39.006,AKGA_GPS,6
39.702,40.974,AKTO_GPS,5
28.483,38.315,ALSE_GPS,4
30.609,36.829,ANTG_GPS,7
27.214,40.171,ARAK_GPS,3
25.566,40.928,ASKT_GPS,5
26.406,36.586,ASTP_GPS,6
26.707,39.326,AYVA_GPS,3
26.91,40.029,BAH1_GPS,3
27.906,39.722,BALI_GPS,7
27.308,38.711,BAYO_GPS,4
27.423,37.032,BODR_GPS,6
30.679,40.552,BOZS_GPS,3
30.297,37.689,BURD_GPS,6
27.836,37.196,CAMK_GPS,6
29.261,40.2,CAT1_GPS,3
29.143,40.639,CINA_GPS,6
28.081,37.609,CINE_GPS,6
27.779,41.827,DEMI_GPS,8
23.933,38.079,DION_GPS,23
26.706,40.739,DOKU_GPS,6
36.137,36.899,DORT_GPS,9
29.106,40.27,DTAS_GPS,3
37.22,38.179,ELBI_GPS,6
30.637,39.658,ESKI_GPS,5
36.643,37.088,FEVZ_GPS,9
29.423,40.821,GATE_GPS,5
29.146,40.46,GEML_GPS,3
28.923,39.93,GIRE_GPS,3
28.779,40.167,HAGA_GPS,3
26.085,38.443,HIOS_GPS,3
29.514,40.164,HMZA_GPS,3
29.908,40.438,IGAZ_GPS,6
29.064,41.064,IKAN_GPS,7
32.57,40.881,ISME_GPS,4
40.809,40.437,ISPI_GPS,6
29.02,41.104,ITAY_GPS,16
29.929,40.425,IUCK_GPS,5
27.301,40.381,KABI_GPS,6
29.648,36.194,KASO_GPS,7
27.781,35.952,KATV_GPS,12
30.827,40.735,KDER_GPS,4
27.217,39.897,KIRE_GPS,5
30.655,40.628,KKAP_GPS,3
36.996,37.522,KMAR_GPS,8
27.394,36.681,KNID_GPS,6
26.929,36.752,KOSI_GPS,6
26.216,39.726,KRKE_GPS,3
22.544,39.937,KRNA_GPS,5
27.224,35.493,KRPT_GPS,5
20.665,39.734,KRTS_GPS,4
30.638,40.614,KTOP_GPS,4
26.871,40.601,KVAK_GPS,5
24.41,37.363,KYNS_GPS,4
22.984,36.307,KYRA_GPS,4
22.823,37.184,LEON_GPS,6
26.451,39.234,LESV_GPS,3
25.126,39.851,LIMN_GPS,4
27.96,40.971,MAER_GPS,11
27.963,36.772,MARM_GPS,6
30.026,40.465,MEKE_GPS,4
33.191,37.378,MELE_GPS,7
40.254,39.731,MERC_GPS,5
24.521,36.747,MIL1_GPS,10
25.379,37.449,MKN2_GPS,4
22.945,38.888,NEVA_GPS,5
24.543,38.887,NSKR_GPS,4
28.0,38.248,ODME_GPS,3
29.585,40.667,OLUK_GPS,6
23.932,35.325,OMAL_GPS,7
27.085,38.019,OZDE_GPS,6
29.136,37.941,PAMU_GPS,5
30.862,40.555,PINA_GPS,3
22.184,38.322,PSAR_GPS,8
24.694,35.404,ROML_GPS,4
36.336,41.299,SAM1_GPS,8
26.989,37.78,SAMO_GPS,3
24.392,38.086,SEVA_GPS,5
37.958,39.454,SINC_GPS,6
29.439,36.72,SIRA_GPS,8
30.13,40.745,SISL_GPS,5
31.814,39.564,SIVR_GPS,5
30.134,40.69,SMAS_GPS,6
25.513,40.466,SMTK_GPS,4
27.486,37.818,SOKE_GPS,3
23.428,40.789,SOXO_GPS,4
23.919,39.994,STHN_GPS,4
30.804,40.386,TEBA_GPS,6
24.627,40.593,THAS_GPS,4
25.439,36.346,THIR_GPS,5
27.629,40.245,UKIR_GPS,4
29.141,40.122,ULDA_GPS,4
29.102,40.136,ULUD_GPS,4
21.878,36.791,XRIS_GPS,6
27.316,39.024,YAYA_GPS,6
27.393,40.811,YENB_GPS,6
29.635,40.803,YUHE_GPS,3
26.206,35.129,ZAKR_GPS,6
29.111,40.165,ZEYA_GPS,3
37.869,38.05,ALTP_GPS,6
38.706,38.234,CAYK_GPS,4
38.139,38.615,FETI_GPS,5
37.864,38.783,GZLT_GPS,4
39.164,39.613,KMAH_GPS,6
39.91,38.737,SRYB_GPS,5
38.524,38.29,YAYG_GPS,4
34.813,39.801,YOZG_GPS,6
30.54,38.73,AFYN_GPS,2
28.01,38.96,AKHI_GPS,4
27.42,39.78,ALAN_GPS,6
32.81,39.66,AYAG_GPS,2
26.7,39.311,AYKA_GPS,6
26.189,39.614,BDER_GPS,4
30.59,36.9,BHTL_GPS,5
29.79,39.57,BLTP_GPS,3
30.58,37.45,BUC2_GPS,3
28.23,38.07,BYDA_GPS,3
29.1,36.69,CIFT_GPS,3
27.96,37.63,CINC_GPS,4
27.38,37.88,CMLK_GPS,3
28.63,39.61,DURS_GPS,3
29.25,39.34,EMET_GPS,4
