Lon,Lat,E.vel,N.vel,E.adj,N.adj,E.sig,N.sig,Corr,U.vel,U.adj,U.sig,Stat,Ref
37.36,11.6,-3.99,4.98,21.76,16.45,0.1,0.09,0.008,-0.6,-0.6,3.0,BDAR_GPS,stamps_2018_eura
42.3462,12.7031,14.35,18.26,40.43,28.64,0.73,0.69,0.002,1.85,1.85,0.72,DEBA_GPS,viltres_2022_eura
42.346,12.703,14.99,18.26,41.07,28.64,0.69,0.65,-0.016,5.9,5.9,8.6,DEBA_GPS,viltres_2020_eura
37.8939,13.1505,-1.28,6.22,24.67,17.58,0.43,0.37,-0.001,1.02,1.02,0.72,DEBK_GPS,viltres_2022_eura
37.8939,13.1505,-2.15,6.32,0.0,0.0,0.29,0.26,0.001,0.47,0.0,0.95,DEBK_GPS,serpelloni_2022_eura
44.392,14.571,11.29,17.93,37.69,27.84,0.56,0.52,0.002,2.06,2.06,0.64,DHMR_GPS,viltres_2022_eura
44.392,14.571,12.65,20.05,39.05,29.96,0.57,0.51,0.01,0.18,0.18,3.0,DHMR_GPS,graham_2021_eura
44.392,14.571,12.44,19.71,38.84,29.62,0.69,0.62,0.0,0.09,0.09,3.0,DHMR_GPS,nocquet_2012_eura
44.392,14.571,12.45,20.73,38.85,30.64,0.59,0.54,0.011,4.71,4.71,3.28,DHMR_GPS,mcclusky_2010_eura
44.392,14.571,11.46,17.73,37.86,27.64,0.65,0.61,-0.019,4.55,4.55,7.95,DHMR_GPS,viltres_2020_eura
41.8583,9.6131,2.78,4.93,28.41,15.42,0.45,0.35,0.008,1.99,1.99,0.87,ETDD_GPS,viltres_2022_eura
41.858,9.613,2.99,4.76,28.62,15.25,0.88,0.61,0.0,0.16,0.16,3.0,ETDD_GPS,graham_2021_eura
41.8583,9.6131,2.68,4.53,0.0,0.0,0.35,0.27,0.001,-1.66,0.0,0.82,ETDD_GPS,serpelloni_2022_eura
41.86,9.61,2.19,4.38,27.82,14.87,0.26,0.24,-0.034,0.29,0.29,3.0,ETDD_GPS,wedmore_2021_eura
41.858,9.613,2.23,4.18,27.86,14.67,0.23,0.24,0.004,-0.42,-0.42,3.0,ETDD_GPS,stamps_2018_eura
41.3828,19.0426,7.51,16.31,34.19,26.9,0.47,0.45,0.001,1.19,1.19,0.42,GOOZ_GPS,viltres_2022_eura
41.383,19.042,7.79,16.5,34.47,27.09,0.45,0.43,-0.013,-4.29,-4.29,7.51,GOOZ_GPS,viltres_2020_eura
41.383,19.043,9.1,18.01,35.78,28.6,1.26,1.19,0.001,2.1,2.1,3.13,GOOZ_GPS,mcclusky_2010_eura
41.383,19.043,9.02,17.29,35.7,27.88,1.5,1.42,0.0,0.1,0.1,3.0,GOOZ_GPS,nocquet_2012_eura
41.383,19.043,9.18,17.59,35.86,28.18,1.25,1.18,0.0,0.2,0.2,3.0,GOOZ_GPS,graham_2021_eura
42.543,16.8808,8.41,16.74,34.97,27.07,0.35,0.29,0.001,-2.87,-2.87,1.21,GZAN_GPS,viltres_2022_eura
42.546,16.888,8.51,17.64,35.07,27.97,1.56,0.44,0.0,0.19,0.19,3.0,F001_GPS,graham_2021_eura
36.0999,29.1389,0.15,12.35,26.68,24.08,0.12,0.12,0.003,0.97,0.97,0.64,HALY_GPS,viltres_2022_eura
36.1,29.139,0.5,11.6,27.03,23.33,0.29,0.29,0.0,0.09,0.09,3.0,HALY_GPS,nocquet_2012_eura
36.1,29.139,1.27,11.83,27.8,23.56,0.24,0.24,0.014,-38.07,-38.07,5.52,HALY_GPS,gomez_2020_eura
36.0999,29.1389,0.2,12.19,26.73,23.92,0.25,0.29,0.002,-0.12,-0.12,3.0,HALY_GPS,saleh_2015_eura
36.09992,29.13887,-0.1,11.98,26.43,23.71,0.41,0.41,-0.005,0.39,0.39,1.3,HALY_GPS,castro_2021_eura
36.0999,29.1389,0.21,12.06,0.0,0.0,0.07,0.07,0.001,0.21,0.0,0.26,HALY_GPS,serpelloni_2022_eura
36.1,29.139,0.68,12.64,27.21,24.37,0.87,0.85,0.001,0.91,0.91,3.0,HALY_GPS,reilinger_2006_eura
36.0999,29.1389,0.18,11.84,26.71,23.57,0.1,0.1,0.001,-0.47,-0.47,3.01,HALY_GPS,hamiel_2021_eura
36.1,29.139,0.24,11.6,26.77,23.33,0.78,0.73,-0.003,0.02,0.02,4.94,HALY_GPS,alchalbi_2013_eura
44.438,33.341,-2.19,18.43,25.04,28.32,0.29,0.3,0.001,-0.39,-0.39,0.92,ISBA_GPS,viltres_2022_eura
44.4384,33.3414,-2.85,17.97,24.38,27.86,0.3,0.39,0.001,0.04,0.04,3.03,ISBA_GPS,khorrami_2019_eura
44.43841,33.34142,-2.37,18.53,24.86,28.42,0.39,0.4,-0.005,-0.51,-0.51,1.22,ISBA_GPS,castro_2021_eura
44.4384,33.3414,-2.53,17.57,24.7,27.46,0.1,0.1,0.002,-0.81,-0.81,3.01,ISBA_GPS,hamiel_2021_eura
44.4384,33.3414,-1.46,16.93,25.77,26.82,0.84,0.52,0.001,-0.03,-0.03,3.0,ISBA_GPS,saleh_2015_eura
44.438,33.341,-3.62,17.4,23.61,27.29,0.53,0.45,-0.0,0.25,0.25,3.0,ISB9_GPS,graham_2021_eura
44.4384,33.3414,-2.4,18.05,0.0,0.0,0.07,0.08,0.001,-0.83,0.0,0.36,ISBA_GPS,serpelloni_2022_eura
44.011,36.16,-3.36,18.59,23.7,28.58,0.43,0.41,0.0,0.2,0.2,0.67,ISER_GPS,viltres_2022_eura
44.011,36.16,-3.44,17.61,23.62,27.6,1.35,1.35,0.003,0.12,0.12,3.02,ISER_GPS,khorrami_2019_eura
44.0109,36.1599,-4.07,17.18,0.0,0.0,0.13,0.15,0.001,-7.28,0.0,0.53,ISEX_GPS,serpelloni_2022_eura
44.011,36.16,-4.06,18.88,23.0,28.87,0.59,0.58,-0.0,0.25,0.25,3.0,ISER_GPS,graham_2021_eura
44.353,32.013,-1.24,18.18,26.02,28.09,0.29,0.21,0.001,-0.79,-0.79,0.98,ISNA_GPS,viltres_2022_eura
44.353,32.013,-1.88,17.57,25.38,27.48,0.62,0.62,0.044,0.0,0.0,3.03,ISNA_GPS,khorrami_2019_eura
44.353,32.013,-1.69,17.9,25.57,27.81,0.57,0.46,-0.0,0.24,0.24,3.0,ISNA_GPS,graham_2021_eura
44.3533,32.0125,-1.7,17.87,0.0,0.0,0.09,0.1,0.001,-1.65,0.0,0.39,ISNA_GPS,serpelloni_2022_eura
43.673,34.601,-3.07,17.71,24.04,27.78,0.56,0.56,0.001,-0.69,-0.69,1.45,ISSD_GPS,viltres_2022_eura
43.673,34.601,-2.32,19.9,24.79,29.97,0.95,0.89,-0.0,0.25,0.25,3.0,ISSD_GPS,graham_2021_eura
43.673,34.6008,-1.96,20.17,0.0,0.0,0.4,0.41,0.001,-4.94,0.0,1.13,ISSD_GPS,serpelloni_2022_eura
